epoch,loss,val_loss
0,0.8319318396289174,1.7345272302627563
1,0.5970043060256214,1.9245611429214478
2,0.5631962425825072,2.1472679138183595
3,0.5346140229120487,3.9253693580627442
4,0.547958757819199,3.7720014572143556
5,0.5149425973252553,2.8219969272613525
6,0.5105600422475396,2.994222116470337
7,0.4972788807822437,2.340246057510376
8,0.49769864140487297,1.4790439367294312
9,0.4652208307894265,1.0311299324035645
10,0.4726585295142197,1.1883591175079347
11,0.477475651153704,0.900815212726593
12,0.45736820159888847,1.054107666015625
13,0.46707309310029194,0.8343180656433106
14,0.45155664842303206,0.6625860929489136
15,0.4433325856197171,0.7158200144767761
16,0.4400038224894826,0.5582460999488831
17,0.4384052717104191,0.6302525639533997
18,0.43976418783025045,0.5562225818634033
19,0.473249424521516,0.6097506880760193
20,0.4482572863741619,0.5468514800071717
21,0.4364149999327776,0.446512770652771
22,0.429879540350379,0.5280884385108948
23,0.4191670214257589,0.44714310169219973
24,0.4235043474813787,0.46743152737617494
25,0.4216157597739522,0.4523683786392212
26,0.4141375916760142,0.451188737154007
27,0.4166801550039431,0.4384816586971283
28,0.4231660707694728,0.43875704407691957
29,0.4068897017618505,0.45333259701728823
30,0.4087575790358753,0.43069671392440795
31,0.41182848084263685,0.43464643359184263
32,0.40534740104907896,0.475861644744873
33,0.40573454702772743,0.5118400812149048
34,0.4095926699115009,0.4185387909412384
35,0.39890962693749404,0.426207834482193
36,0.40430072095335984,0.5210199236869812
37,0.4014248368216724,0.44697223901748656
38,0.41013285590381154,0.44546396732330323
39,0.4026379926902492,0.4384895384311676
40,0.400598167646222,0.4357578456401825
41,0.3933128721830321,0.4169332683086395
42,0.39611067495694974,0.45470499992370605
43,0.3974925388650196,0.5128240823745728
44,0.40089472183367103,0.45820591449737547
45,0.3949624387229361,0.44554882049560546
46,0.3877376536043679,0.4348752498626709
47,0.39294872778217965,0.4253985047340393
48,0.38422397942077824,0.4147341251373291
49,0.3864412198706371,0.4374672889709473
50,0.3948925958900917,0.4366508960723877
51,0.3874419338819457,0.4525570750236511
52,0.4168730261849194,0.5153242409229278
53,0.4021198727735659,0.41369030475616453
54,0.39139442981743233,0.43080214262008665
55,0.3872260756608916,0.4593515992164612
56,0.3822976786915849,0.43658767342567445
57,0.378751409489934,0.40743990540504454
58,0.37824368258801905,0.42271789312362673
59,0.37997356202544236,0.45433799624443055
60,0.3809991050057295,0.4220345139503479
61,0.3817149626045692,0.41031954884529115
62,0.3797672623541297,0.4398252427577972
63,0.3756875562958601,0.4246041297912598
64,0.37744777813190367,0.41836133003234866
65,0.3752613932621188,0.4186451375484467
66,0.37725307301777167,0.4495729923248291
67,0.3784807477055526,0.4005125880241394
68,0.394753815924249,0.6427570223808289
69,0.4032258514950915,0.5387977361679077
70,0.382004720408742,0.4162152111530304
71,0.37428370917715675,0.4177133798599243
72,0.36744436185534407,0.44918822050094603
73,0.37630215141831375,0.4165667712688446
74,0.3700369661901055,0.41298930048942567
75,0.37496833103459054,0.40258216857910156
76,0.3680669381851103,0.40731247663497927
77,0.3709023027885251,0.3998379647731781
78,0.36576283704943774,0.4113313376903534
79,0.36766674096991375,0.4352350890636444
80,0.36291064212961893,0.4141047656536102
81,0.36981305988823493,0.40341210961341856
82,0.36514208011510896,0.39894297122955324
83,0.3616440128989336,0.3946765184402466
84,0.3624924515805593,0.42630409002304076
85,0.3741228355140221,0.41577460765838625
86,0.3617337084398037,0.40682063698768617
87,0.35696906941693,0.39629860520362853
88,0.36816274465584176,0.39485323429107666
89,0.35504868190462996,0.40284032821655275
